District,Nitrogen Value,Phosphorous value,Potassium value,pH
Mandya,23.786,70.862,52.844,6.8743
Mandya,34.061,70.319,56.897,6.8472
Mandya,26.093,74.027,61.988,7.0755
Mahisagar,23.654,51.785,70.136,7
Mahisagar,20,72.643,75.623,7
Mahisagar,25.172,73.241,69.116,7
Mahisagar,21.356,50.719,75.215,7
Mahisagar,22.319,49.823,78.425,7
Mahisagar,22.367,50,77.984,6.9994
Mahesana,20.039,68.855,48.326,8.1142
Mahesana,20.279,57.846,56.627,7.1619
Mahesana,20.162,52.409,58.988,7.0006
Mahesana,20.108,68.735,50.841,8.56
Mahesana,20.174,43.371,53.208,6.995
Mahesana,20.45,55.112,36.422,7.085
Mahesana,20.036,69.989,49.535,7.2151
Mahesana,21.437,64.751,54.65,7.0008
Mahesana,22.418,58.193,43.241,7.0424
Mahesana,21.257,66.218,54.059,7.0771
Madurai,20.03,36.581,75.725,6.9505
Madurai,20,55.874,60.779,6.9952
Madurai,20.06,74.555,72.899,7.1125
Madurai,20.114,46.07,70.229,7.0229
Madurai,20.126,61.754,66.207,6.9991
Madurai,20.036,67.589,63.128,7.0024
Madurai,20,68.414,67.799,7.0101
Madurai,20,62.342,68.291,7.0116
Madurai,20.066,52.762,61.784,7.1606
Madurai,20.083,55.132,67.572,7.0042
Madurai,20.108,52.277,62.468,7.1859
Madurai,20.096,56.624,71.621,7.2619
Madurai,20.084,53.407,67.238,7.0021
Krishnagiri,20.027,59.189,53.589,7.1212
Krishnagiri,20,64.748,56.474,7.0502
Krishnagiri,20,65.12,40.466,6.8743
Krishnagiri,20.03,34.535,51.671,7.0846
Krishnagiri,20,39.128,54.609,7.0648
Krishnagiri,20.027,63.203,45.863,6.9659
Krishnagiri,20.03,36.122,46.273,6.992
Krishnagiri,20,56.555,51.305,7.3588
Krishnagiri,20,60.359,53.321,6.9784
Krishnagiri,20.018,58.599,41.048,6.9799
Koppal,50.25,75.282,75.262,7.0006
Koppal,66.959,78.413,67.655,7.309
Koppal,63.716,79.364,70.46,7.0524
Koppal,49.644,77.069,55.875,7.0749
Koppal,49.306,78.941,55.421,7.0192
Koppal,57.326,78.323,62.81,6.9894
Koppal,58.562,76.781,70.322,7.0686
Kolar,22.061,57.247,41.192,6.8766
Kolar,22.013,73.949,51.447,6.8447
Kolar,22.085,73.272,48.209,6.9091
Kolar,22.124,73.568,43.644,6.9319
Kolar,22.841,66.185,48.201,6.985
Kolar,22.307,73.324,46.614,6.9686
Kodagu,51.899,64.367,60.989,6.9991
Kodagu,49.948,64.424,60.146,6.9977
Kodagu,47.675,63.729,59.921,6.9753
Kodagu,51.03,64.311,58.17,6.9967
Kodagu,48.872,63.18,59.735,6.9969
Kheda,20.753,73.907,67.757,7.0912
Kheda,20.399,73.613,66.83,7.153
Kheda,20.183,74.858,70.172,7.0672
Kheda,20.201,73.217,69.368,7.1314
Kheda,20.312,75.752,66.791,7.0858
Kheda,22.889,69.752,68.969,7.0075
Kheda,20.027,77.678,69.623,7.033
Kheda,20.15,74.693,68.819,7.2433
Kheda,20.132,76.112,65.975,7.3474
Kheda,20,76.121,68.36,7.2661
Karur,20,34.745,68.6,6.9805
Karur,20,51.458,68.567,7.4909
Karur,20,43.934,70.277,7.5594
Karur,20.108,49.598,56.057,7.121
Karur,20,47.684,75.371,7.6031
Karur,20,48.972,60.908,7.3413
Karur,20.06,44.024,66.074,7.1074
Karur,20.087,62.218,70.268,7.0587
Kanniyakumari,20,71.78,46.16,6.8612
Kanniyakumari,20,79.613,48.644,6.4951
Kanniyakumari,20.303,70.805,61.757,6.8485
Kanniyakumari,20.615,68.688,42.767,6.6382
Kanniyakumari,20.363,77.999,66.365,6.9149
Kanniyakumari,20,80,49.819,6.2143
Kanniyakumari,20.192,79.421,41.87,6.9088
Kanniyakumari,21.941,75.26,64.175,6.5908
Kanniyakumari,20.057,75.833,30.998,6.913
Kanchipuram,20.372,49.046,53.093,7.0072
Kanchipuram,20.099,53.655,52.139,6.9659
Kanchipuram,20.018,57.638,62.411,6.9414
Kanchipuram,20.03,44.591,57.34,7.0168
Kanchipuram,20.033,54.979,56.48,7.0085
Kallakurichi,20.061,57.97,69.029,7.0103
Kallakurichi,20,62.867,69.245,6.9964
Kallakurichi,20,58.248,66.939,7.0966
Kallakurichi,20,67.001,65.201,6.8233
Kallakurichi,20,58.64,67.252,7.0071
Kallakurichi,20.102,58.112,67.922,7.0173
Kallakurichi,20.021,59.258,67.238,7.0914
Kallakurichi,20.021,56.56,67.845,7.0984
Kallakurichi,20.03,57.636,73.508,6.988
Kalaburagi,28.547,79.781,79.973,7.0006
Kalaburagi,25.16,79.535,79.892,7
Kalaburagi,24.98,76.202,79.934,7.0007
Kalaburagi,25.754,79.871,79.868,7
Kalaburagi,24.857,79.209,79.793,7.0001
Kalaburagi,26.714,79.733,80,7
Kalaburagi,25.163,78.458,79.92,7.0009
Kalaburagi,24.236,79.871,79.927,6.9991
Kalaburagi,24.8,74.555,79.376,7.041
Kalaburagi,24.11,80,80,7
Kalaburagi,25.415,79.85,79.898,7
Kachchh,28.874,71.126,69.641,7.3579
Kachchh,23.909,66.586,65.21,7.068
Kachchh,20,65.552,73.166,7
Kachchh,21.428,42.68,76.787,7
Kachchh,20.384,59.36,77.596,7
Kachchh,20,48.593,69.617,7
Kachchh,30.437,73.29,78.71,8.1796
Kachchh,27.209,60.681,74.618,7.4622
Kachchh,24.308,74.432,69.371,7.6375
Kachchh,39.166,59.005,69.445,7.0691
Junagadh,21.008,77.761,65.613,7
Junagadh,20.843,70.211,78.784,7.0027
Junagadh,25.052,75.728,70.137,7.0045
Junagadh,21.353,74.192,63.368,7
Junagadh,20.516,74.333,63.26,6.9984
Junagadh,20.357,73.082,62.849,7
Junagadh,22.535,70.001,78.965,7
Junagadh,28.184,62.676,69.353,7
Junagadh,20.213,75.014,65.351,7.0048
Jamnagar,33.743,74.31,58.874,7.0666
Jamnagar,31.638,72.869,57.608,7.0119
Jamnagar,33.859,69.355,61.112,7.036
Jamnagar,38.312,72.593,57.546,7.0936
Jamnagar,34.4,72.005,60.614,7.4635
Jamnagar,33.54,69.753,59.424,7.1509
Haveri,35.774,50.552,48.761,7.0128
Haveri,40.628,48.191,59.633,7.6346
Haveri,39.26,50.294,51.383,6.9505
Haveri,47.336,53.63,56.459,7.0067
Haveri,27.611,49.289,52.122,7.0454
Haveri,49.313,51.542,55.934,7.0365
Haveri,42.674,48.332,50.1,7.0065
Haveri,45.287,52.973,53.225,6.9731
Hassan,55.345,77.759,61.445,6.991
Hassan,64.085,79.892,62.687,6.7204
Hassan,62.165,77.819,57.908,6.9073
Hassan,50.604,76.809,56.151,6.9972
Hassan,53.405,77.24,56.366,6.9864
Hassan,54.749,77.45,54.426,6.9969
Hassan,53.009,77.255,55.982,6.9884
Hassan,53.124,78.5,58.199,6.9921
Gir Somnath,38.447,50.87,41.483,7.1695
Gir Somnath,44.588,51.379,45.182,7.0042
Gir Somnath,33.656,49.163,43.94,7.0057
Gir Somnath,46.324,52.503,44.132,7.0045
Gir Somnath,29.267,48.641,43.172,7.0018
Gir Somnath,26.651,47.792,46.499,7
Gandhinagar,20.384,79.448,75.931,7.0315
Gandhinagar,20.084,79.733,77.918,7.0183
Gandhinagar,20.063,79.586,78.657,7.0633
Gandhinagar,20.933,79.496,73.571,7
Gadag,48.479,53,59.849,6.9993
Gadag,49.268,52.646,59.114,7.0045
Gadag,49.976,53.486,65.477,7.0078
Gadag,48.401,51.631,66.473,7.0008
Gadag,49.688,52.139,68.591,6.9992
Gadag,49.995,53.297,64.889,6.9999
Gadag,49.985,53.879,58.517,7.0015
Erode,20.192,46.595,78.815,7.1089
Erode,20,47.147,79.313,7.0291
Erode,20.372,41.45,74.441,7.0456
Erode,20.126,40.265,72.884,7.0417
Erode,20.33,43.637,69.503,7.0063
Erode,20.084,41.219,72.713,7.0468
Erode,20,38.09,70.049,7.3568
Erode,20.09,47.468,79.052,7.222
Erode,20.051,47.756,79.478,7.0105
Erode,20.078,39.749,71.889,7.0119
Erode,20.072,42.074,68.609,7.0426
Erode,20.477,41.786,73.745,7.0372
Erode,20,48.072,78.14,6.8009
Erode,20,47.828,78.821,7.0144
Dohad,21.428,76.052,53.489,6.9944
Dohad,26.117,57.398,59.41,6.998
Dohad,22.448,75.458,61.714,7
Dohad,20,77.264,55.469,7.0039
Dohad,23.795,76.9,59.561,6.9992
Dohad,38.687,77.297,62.636,7
Dohad,28.937,78.533,60.524,7
Dohad,22.061,44.234,68.738,7.0018
Dohad,22.967,53.573,74.921,7
Dindigul,20.252,43.701,75.212,7.1551
Dindigul,20.039,46.315,74.285,7.1583
Dindigul,20.12,46.024,74.297,7.1515
Dindigul,20.402,38.018,66.723,7.0917
Dindigul,20.148,40.198,71.471,7.3648
Dindigul,20.756,39.602,69.125,7.0163
Dindigul,21.127,40.766,71.721,7.0214
Dindigul,20.378,26.936,71.258,6.9949
Dindigul,21.674,37.228,68.681,7.0654
Dindigul,23.138,42.845,71.653,7.0055
Dindigul,20.486,46.979,73.901,7.0495
Dindigul,20.546,43.479,69.521,6.9954
Dindigul,20.3,40.622,68.513,7.0033
Dindigul,20.885,45.392,69.509,6.4026
Dharwad,39.833,50.609,69.971,8.4043
Dharwad,50.159,49.899,63.119,6.9995
Dharwad,54.062,49.916,67.268,7.3951
Dharwad,48.062,48.248,60.584,7.4938
Dharwad,49.561,50.615,71.246,7.1203
Dharwad,49.016,60.074,56.717,8.0362
Dharwad,51.743,49.943,40.164,7
Dharmapuri,20.072,60.047,56.393,6.9922
Dharmapuri,20.072,58.157,60.557,7.2727
Dharmapuri,20,59.246,59.308,7.0564
Dharmapuri,20.114,60.542,59.655,7.1453
Dharmapuri,20.114,61.077,59.234,7.0561
Dharmapuri,20.024,60.845,57.651,7.0993
Dharmapuri,20,60.496,60.141,7.0176
Dharmapuri,20.039,60.385,59.081,7.01
Dharmapuri,20,61.536,57.509,7.0365
Dharmapuri,20,60.021,57.443,6.9921
Devbhumi Dwarka,46.25,80,67.013,7.1719
Devbhumi Dwarka,29.567,76.022,48.221,7.0732
Devbhumi Dwarka,41.114,76.016,51.257,7.0635
Devbhumi Dwarka,44.267,77.441,52.046,7.0288
Davanagere,49.157,75.038,70.652,7
Davanagere,48.425,75.602,69.512,6.992
Davanagere,50.078,74.981,71.657,6.9995
Davanagere,49.298,75.947,72.35,6.9994
Davanagere,48.96,74.374,70.382,7
Davanagere,47.819,74.266,70.439,7
Dang,40.016,31.427,51.682,7
Dang,44.288,79.985,52.013,7.0015
Dang,34.136,29,41.279,7
Dakshina Kannada,20.676,54.388,41.309,6.7531
Dakshina Kannada,20.246,52.025,28.958,6.7004
Dakshina Kannada,21.656,52.085,30.744,6.7135
Dakshina Kannada,23.072,50.827,46.878,6.8341
Dakshina Kannada,21.152,66.386,55.676,6.8179
Dakshina Kannada,21.95,52.358,39.08,6.926
Dakshina Kannada,20.495,58.109,41.01,6.5812
Dakshina Kannada,20.105,46.971,46.564,6.635
Dakshina Kannada,20.318,58.916,37.871,6.9538
Cuddalore,20.021,71.624,47.729,7.0478
Cuddalore,20,73.207,46.829,6.9942
Cuddalore,20.072,69.077,50.174,7.1779
Cuddalore,20,70.957,43.209,7.0548
Cuddalore,20.048,77.093,46.151,7.5146
Cuddalore,20.018,76.273,46.709,6.9756
Cuddalore,20,76.88,46.136,7.0304
Cuddalore,20,70.266,52.708,7.037
Cuddalore,20,66.545,60.5,7.0589
Cuddalore,20,63.134,56.924,7.0308
Cuddalore,20.063,70.213,61.763,7.106
Cuddalore,20,65.891,57.653,7.6367
Cuddalore,20.018,62.33,61.952,6.9922
Cuddalore,20.048,74.445,46.352,7.1059
Coimbatore,20.087,48.257,76.685,7.1656
Coimbatore,20.24,42.851,77.681,7.1473
Coimbatore,20.69,44.401,76.895,7.1902
Coimbatore,20.726,49.454,78.551,7.4533
Coimbatore,20.057,42.515,78.21,7.6162
Coimbatore,20,39.443,78.401,7.258
Coimbatore,20.591,43.919,79.115,7.1005
Coimbatore,20,42.533,77.381,7.0447
Coimbatore,20,39.944,79.49,8.1421
Coimbatore,20.492,41.873,78.929,7.4947
Coimbatore,20.693,36.506,78.995,7.0252
Coimbatore,20.672,41.766,79.85,7.21
Chitradurga,22.19,74.813,60.834,6.9993
Chitradurga,21.731,71.921,61.972,7.0027
Chitradurga,21.716,69.271,58.334,6.9985
Chitradurga,21.554,74.912,59.117,7.0039
Chitradurga,21.089,75.797,58.232,6.9979
Chitradurga,21.521,74.231,59.662,6.9999
Chikkamagaluru,28.457,66.014,64.146,6.7392
Chikkamagaluru,27.902,69.146,34.52,6.6146
Chikkamagaluru,24.413,78.152,65.787,6.8805
Chikkamagaluru,35.09,70.658,34.188,6.3802
Chikkamagaluru,22.523,78.077,55.884,7.0268
Chikkamagaluru,24.434,65.807,58.934,6.9914
Chikkamagaluru,24.497,78.042,70.232,7.0082
Chikkamagaluru,22.01,71.441,51.266,6.8983
Chikkamagaluru,28.118,57.98,53.3,6.5229
Chikkaballapura,20.029,73.948,57.245,7.0024
Chikkaballapura,20.222,72.947,59.048,6.9997
Chikkaballapura,20.021,73.622,57.245,6.9993
Chikkaballapura,21.272,72.029,57.494,6.9806
Chikkaballapura,21.485,71.36,59.822,6.9194
Chikkaballapura,21.332,76.508,65.577,6.8964
Chhotaudepur,35.327,29.909,64.142,7.1383
Chhotaudepur,33.752,51.717,63.365,7.0183
Chhotaudepur,29.297,56.813,60.377,7.003
Chhotaudepur,26.684,51.807,73.985,7.0081
Chhotaudepur,27.404,43.834,57.684,7.0027
Chhotaudepur,34.445,31.37,51.269,7.006
Chengalpattu,20.966,40.454,34.115,7.0575
Chengalpattu,21.14,44.169,29.975,7.0897
Chengalpattu,20.468,49.871,41.895,7.001
Chengalpattu,20.228,44.316,54.101,7.0927
Chengalpattu,20.111,48.212,42.161,6.8667
Chengalpattu,21.368,50.505,53.89,6.9947
Chengalpattu,21.386,49.97,43.127,6.9845
Chengalpattu,21.44,55.322,44.114,7.007
Chamarajanagar,46.62,71.594,47.379,7.0141
Chamarajanagar,54.032,67.403,55.835,7.0074
Chamarajanagar,60.416,62.841,41.15,7
Chamarajanagar,54.164,65.288,43.886,7
Chamarajanagar,59.762,64.506,38.056,7.0544
Botad,26.042,50.978,78.74,7
Botad,22.637,47.846,79.193,7
Botad,23.75,42.104,79.205,7
Botad,21.554,45.683,78.143,7
Bidar,35.042,47.999,79.678,7.0007
Bidar,35.78,48.473,79.772,7.0001
Bidar,35.696,47.455,79.565,7
Bidar,36.668,48.26,79.783,7.0053
Bidar,36.656,47.342,79.346,7.0005
Bidar,37.181,47.831,79.562,7.0003
Bidar,37.973,47.917,79.283,7.0053
Bidar,35.291,47.537,79.691,6.9989
Bhavnagar,22.994,32.183,72.031,7.003
Bhavnagar,22.907,47.998,55.583,7.0102
Bhavnagar,27.836,32.18,63.03,7
Bhavnagar,26.735,47.723,65.976,7.0282
Bhavnagar,21.512,53.231,64.229,7.003
Bhavnagar,24.761,37.103,52.289,7.0462
Bhavnagar,22.589,32.507,36.479,7.0402
Bhavnagar,23.114,79.163,75.62,7.012
Bhavnagar,22.445,68.342,46.319,7
Bharuch,21.407,76.91,69.527,7.4726
Bharuch,20,76.769,69.053,7.2412
Bharuch,20.309,77.591,49.469,7.002
Bharuch,21.197,79.958,68.186,7.0641
Bharuch,20.783,79.814,74.53,7.006
Bharuch,20,77.696,71.648,7.0308
Bharuch,20.114,78.314,70.853,7.006
Bharuch,20,72.422,54.29,7.0021
Bharuch,20,79.895,73.767,7.0157
Bharuch,20.51,58.449,77.444,7
Bharuch,20,79.925,74.017,7.2121
Bharuch,20.339,78.422,72.878,7.0006
Bharuch,20.276,54.836,62.31,6.9986
Bharuch,20.087,70.229,68.777,7
Bengaluru urban,21.437,61.703,50.182,6.9463
Bengaluru urban,24.599,70.853,53.657,6.9014
Bengaluru urban,21.89,73.193,50.877,6.9496
Bengaluru urban,20.267,47.679,41.267,6.8403
Bengaluru urban,21.071,63.357,49.559,7.0063
Belagavi,20.105,40.103,70.766,7.6667
Belagavi,23.912,46.55,60.128,7.5475
Belagavi,20,47.534,61.424,8.0068
Belagavi,20.096,52.719,48.587,7.9807
Belagavi,20,46.631,42.599,7.1094
Belagavi,20.186,58.194,45.062,7.1956
Belagavi,21.134,53.189,48.592,7.3489
Belagavi,20,52.941,42.165,7.5021
Belagavi,20.168,46.456,40.565,8.4055
Belagavi,20.135,44.189,34.056,6.9768
Belagavi,20.027,48.131,34.13,6.8916
Belagavi,22.436,48.269,29.033,7.0297
Belagavi,27.71,57.59,63.595,8.1166
Belagavi,20.099,57.28,30.459,7.9966
Belagavi,31.702,59.27,72.347,8.258
Bangalore Rural,21.249,66.443,49.775,6.6945
Bangalore Rural,22.478,62.903,53.417,6.8436
Bangalore Rural,22.268,70.451,42.515,6.6952
Bangalore Rural,22.937,65.528,51.488,6.8565
Banas Kantha,21.407,76.91,69.527,7.4726
Banas Kantha,20,76.769,69.053,7.2412
Banas Kantha,20.309,77.591,49.469,7.002
Banas Kantha,21.197,79.958,68.186,7.0641
Banas Kantha,20.783,79.814,74.53,7.006
Banas Kantha,20,77.696,71.648,7.0308
Banas Kantha,20.114,78.314,70.853,7.006
Banas Kantha,20,72.422,54.29,7.0021
Banas Kantha,20,79.895,73.767,7.0157
Banas Kantha,20.51,58.449,77.444,7
Banas Kantha,20,79.925,74.017,7.2121
Banas Kantha,20.339,78.422,72.878,7.0006
Banas Kantha,20.276,54.836,62.31,6.9986
Banas Kantha,20.087,70.229,68.777,7
Ballari,51.213,45.932,49.871,7.9869
Ballari,46.565,54.555,46.571,7.7682
Ballari,42.628,55.064,52.487,7.5289
Ballari,47.471,57.458,59.288,7.146
Ballari,35.228,57.143,35.789,6.8915
Bagalakote,28.55,58.511,46.25,7.0935
Bagalakote,31.475,63.545,59.555,7.2815
Bagalakote,39.536,54.89,61.614,7.2384
Bagalakote,26.387,60.338,59.108,7.3231
Bagalakote,26.197,63.521,57.248,7.2364
Bagalakote,33.953,61.05,63.968,7.2338
Bagalakote,25.175,63.292,41.432,7.0896
Bagalakote,41.774,62.693,39.692,7.2399
Bagalakote,47.975,57.579,74.492,7.0179
Arvalli,21.32,72.05,67.694,7.0399
Arvalli,21.572,75.785,68.358,7.0783
Arvalli,20.531,76.019,67.469,7.0381
Arvalli,21.227,74.93,64.703,7.0279
Arvalli,20.855,67.133,56.792,7.0333
Arvalli,20,77.537,69.668,7.0315
Ariyalur,20,50.033,49.628,7
Ariyalur,20.12,52.163,49.922,7.0014
Ariyalur,20.048,52.32,49.475,6.9992
Ariyalur,20,50.498,49.847,6.9977
Ariyalur,20.108,50.081,50,6.9982
Ariyalur,20,50.279,49.874,6.9991
Anand,28.223,80,74,7.1125
Anand,26.663,80,74.039,7.0039
Anand,22.229,80,77.976,7.0153
Anand,21.542,80,74.105,7.1953
Anand,22.619,80,72.077,7.0348
Anand,34.877,80,72.698,7.2802
Anand,20.021,78.02,71.387,7.1143
Anand,20,80,73.985,7.0858
Amreli,20,79.906,79.945,7.0389
Amreli,20,79.973,75.128,7.0057
Amreli,20,79.952,76.625,7
Amreli,20,80,76.217,7
Amreli,20,80,75.713,7.117
Amreli,27.176,62.318,44.477,7.0762
Amreli,26.309,53.573,36.665,7
Amreli,30.734,59.378,28.187,7
Amreli,20,80,79.841,7.2619
Amreli,20.027,80,74.851,7.0357
Amreli,20,79.982,76.421,7.0132
Ahmedabad,22.124,65.397,65.016,7.2838
Ahmedabad,20,80,79.979,7
Ahmedabad,20.051,80,79.922,7
Ahmedabad,20,80,80,7
Ahmedabad,21.488,70.724,75.845,7
Ahmedabad,21.392,55.427,74.831,7.0068
Ahmedabad,21.488,55.982,76.313,6.9979
Ahmedabad,21.695,52.769,79.214,6.9972
Ahmedabad,28.892,74.333,75.773,6.9981
